country,year,enscore,enero91v,ccii,gwe,gwghg
guernsey,2017,44.456666,46.3599985,0.80750519,-1.221479677,0.78791875
guernsey,2018,74.6899985,41.6800005,-0.176510004,0.19519275,-0.05855995
guernsey,2019,75.674999,31.1300015,0.74126947,0.99245757,0.61302018
guernsey,2020,75.785,20.0950005,0.70848882,1.1117572,0.65702313
guernsey,2021,75.9599995,17.2200005,1.0646338,1.1658925,0.95879757
guernsey,2022,76.519997,18.110001,0.40463799,0.56682485,0.35700297
hong kong,2011,40.19052609,2085.413811,-0.344568888,0.223779321,1.287762763
hong kong,2012,46.94142829,1938.696249,0.444215898,-0.445212129,-0.095220056
hong kong,2013,47.91714329,113.511998,0.139170515,0.325052329,-0.351667587
hong kong,2014,50.36272695,132.0480006,0.346733102,0.007498374,0.112989783
hong kong,2015,54.42318205,192.314001,0.790791658,0.110088659,-0.422444681
hong kong,2016,55.20086939,213.2077745,0.614373322,0.325803289,-0.164750807
hong kong,2017,56.76749996,175.4220013,0.527543289,-0.1099667,-0.066669723
hong kong,2018,59.93125013,191.8988913,0.02882844,-0.00607284,0.001709207
hong kong,2019,63.11037056,722.1616742,0.154940417,-0.104150818,0.110183892
hong kong,2020,64.28076912,693.7676925,-0.407506526,-0.010268488,-0.092081483
hong kong,2021,69.95730746,1052.628679,0.486097082,-0.316619945,0.314405942
hong kong,2022,71.36173891,1167.099262,0.274075304,0.119965713,0.639351258
hungary,2011,74.800003,48.639999,0.32635638,-0.55352336,0.65684539
hungary,2012,70.970001,39.52,1.1741644,1.7568032,1.1645974
hungary,2013,69.519997,,0.86862642,1.1595348,
hungary,2014,71.75,,1.5186352,1.4297695,
hungary,2015,77.239998,,1.4117874,1.1822959,
hungary,2016,77.760002,,1.5172104,1.7397784,
hungary,2017,77.040001,120.25,1.4047935,1.6897507,
hungary,2018,79.599998,120.71,0.88514358,0.9183377,0.87166965
hungary,2019,71.910004,111.45,1.0753251,2.2351511,0.9603619
hungary,2020,75.800003,99.5,1.1596375,0.97875386,1.1069125
hungary,2021,70.970001,125.21,1.4141507,2.2892234,1.3211635
hungary,2022,74.239998,205.58,0.92781019,0.4078398,0.8940165
iceland,2011,,,,,
iceland,2012,,,,,
iceland,2013,,,,,
iceland,2014,,,,,
iceland,2015,,,-1.4521956,,
iceland,2016,,,-2.2842124,,
iceland,2017,,,-1.4157668,,
iceland,2018,,,,,
iceland,2019,,,,,
iceland,2020,30.469999,25.940001,,,
iceland,2021,59.959999,23.25,,-3.8005342,-0.2734074
iceland,2022,64.879997,161.71001,,-0.52378488,1.5795178
india,2011,48.13894715,752.0578428,-0.058257563,0.028113742,-1.400218505
india,2012,48.69407861,537.8267682,0.473323677,-0.091266642,0.814473572
india,2013,49.59719472,1123.604984,0.191219032,0.104059293,0.643271467
india,2014,50.32083314,1880.324607,0.195519272,-0.129657541,0.426044314
india,2015,53.37341173,2082.6264,0.236858066,0.131010625,0.591929432
india,2016,56.52885024,1896.296418,0.321571446,-0.147979164,0.329910147
india,2017,58.35692284,1920.433344,0.420254984,0.288885227,0.527666231
india,2018,57.6503001,2460.396112,0.443543296,0.468405939,0.695732504
india,2019,58.55927952,2730.509368,0.50706751,0.206244548,0.279325376
india,2020,60.61312002,3262.003429,0.117370358,0.096244467,0.307000314
india,2021,59.62606659,3239.682958,0.728149572,0.509739655,0.439777931
india,2022,58.57654754,2950.35934,0.048878871,0.301933497,0.212395778
indonesia,2011,44.6959994,,-0.217174455,-0.341633431,
indonesia,2012,55.7739994,,,-0.928354338,
indonesia,2013,53.27999983,,,-0.677176844,
indonesia,2014,49.958333,,-1.078858305,0.414917468,
indonesia,2015,46.96333317,,-0.540065943,0.526575682,
indonesia,2016,46.22666617,1418.63,-0.94634929,0.00888872,
indonesia,2017,48.73285771,,-0.486059063,0.118025407,
indonesia,2018,51.43571343,,0.28196804,0.035647012,
indonesia,2019,47.00999963,64.059998,0.81699991,0.125249057,
indonesia,2020,49.87499985,,0.26547173,0.047743446,
indonesia,2021,56.4774995,,0.155053731,-0.635309688,
indonesia,2022,59.59874963,8228.79,-0.058977232,-0.416634452,
ireland,2011,43.44260848,308.3866668,0.263460033,-0.211116702,0.640256725
ireland,2012,41.1826663,350.2478587,0.280444538,0.287228353,0.278119627
ireland,2013,42.38299929,420.0975001,0.388508549,-0.17754916,0.03211269
ireland,2014,44.03866677,368.2244421,0.210463759,0.191874172,0.369394521
ireland,2015,44.75433408,231.5333332,0.128463363,-0.086339418,0.489941803
ireland,2016,47.68833406,264.4833312,0.032478186,0.185143286,0.407122025
ireland,2017,47.3422581,390.9069983,-0.572411173,0.084323518,0.279744502
ireland,2018,46.54142851,612.6892323,-0.075628244,-0.185264579,0.550252129
ireland,2019,53.70771451,605.8347662,0.162529448,-0.234500123,0.25872352
ireland,2020,57.99852906,611.2943957,-0.136011866,-0.165883784,-0.011592388
ireland,2021,58.94312506,647.7849981,0.660753532,0.710295431,0.476650141
ireland,2022,60.7626083,600.7500005,0.455112301,0.534459691,0.50895022
israel,2011,32.01142886,230.670005,0.295957747,0.727113408,1.0123203
israel,2012,34.40857101,264.3099945,0.25942904,0.024853737,0.44341636
israel,2013,40.54571471,252.3399945,-0.498348273,-1.077916323,0.023155993
israel,2014,40.15142784,237.5049945,0.00595785,0.188958106,-0.075744657
israel,2015,44.88285629,243.7449995,-0.596726966,-0.199310856,-0.06720977
israel,2016,48.28142801,205.5633303,-1.191526033,-0.45918288,0.219989287
israel,2017,48.99857071,203.3366733,-0.12957686,0.159100663,-0.00715926
israel,2018,52.10285656,192.9000067,-0.327014578,-0.144928273,-0.439979951
israel,2019,46.93125023,188.0566666,0.091833935,0.275801279,-0.044575217
israel,2020,54.91125013,171.7166687,-0.71669046,-0.999638769,-0.329904087
israel,2021,53.82624963,100.7059998,-0.341325927,0.163094886,-0.2186054
israel,2022,54.42875013,209.1966665,-0.38073387,0.093833381,-0.266314521
italy,2011,63.4906665,1152.613795,0.04200244,-0.093106239,0.135736989
italy,2012,65.06133277,1068.416195,0.4439658,0.401315694,0.359095437
italy,2013,65.74033337,768.911759,0.134456628,0.065400771,0.189362354
italy,2014,64.41366647,818.9399905,-0.002815714,0.445555273,0.277546983
italy,2015,64.33878742,1012.371606,0.159272466,0.264311289,0.37225489
italy,2016,66.61878797,511.6704866,0.318237992,0.218306623,0.409366874
italy,2017,64.20377758,556.4544368,0.458892315,-0.016031227,0.225849005
italy,2018,59.52426252,675.4536623,0.634601399,0.635536562,0.352795597
italy,2019,63.87901607,836.4789405,0.564101786,0.154215645,0.439664011
italy,2020,66.37305063,1487.657919,0.129854952,-0.002488878,0.327652223
italy,2021,68.21526279,1455.611888,0.634076417,0.709948351,0.604268015
italy,2022,70.62846117,1359.053266,0.272084541,0.077956621,0.369701876
japan,2011,59.9397142,221.9687711,0.438933302,0.089703839,0.062981948
japan,2012,60.18125629,420.7089339,0.821707924,0.554188008,0.876617595
japan,2013,60.20914583,546.1657136,0.530923923,0.311686882,0.718374171
japan,2014,61.32159906,579.9935974,0.519768465,0.198812657,0.875035711
japan,2015,63.36058828,722.7732699,0.531665819,0.389258508,0.357540867
japan,2016,64.39281742,843.3224807,0.414988542,0.410581967,0.583368733
japan,2017,65.79371869,919.7815016,0.372578341,0.30940755,0.39571109
japan,2018,67.82708653,995.847935,0.598055769,0.343781503,0.378570217
japan,2019,70.178321,1528.763896,0.701206989,0.598500328,0.459727744
japan,2020,71.07292382,1781.151919,0.27758366,0.453514535,0.194382428
japan,2021,71.11657015,1791.759497,0.742189353,0.685167158,0.630155784
japan,2022,70.09917028,1860.790853,0.387216536,0.462429722,0.395901617
jersey,2011,,,,,
jersey,2012,,,,,
jersey,2013,0,,,,
jersey,2014,8,,,-0.95057982,
jersey,2015,9.1499996,,,-0.051222678,
jersey,2016,9.6099997,,,0.12763268,
jersey,2017,6.0799999,,,0.61643064,
jersey,2018,8.5299997,,,-0.11182889,
jersey,2019,29.6449995,34.59,,-1.6575029,
jersey,2020,42.9349995,572.35995,0.69502389,-0.99641185,-0.054858688
jersey,2021,43.3500005,825.8950001,-0.1290994,-0.02399976,-0.08068213
jersey,2022,39.8399995,572.3400001,-0.758294102,-0.052918315,-0.76256079
kazakhstan,2011,52.060001,,,0.86560714,
kazakhstan,2012,52.130001,,,0.19382544,
kazakhstan,2013,48.299999,,,0.59850919,
kazakhstan,2014,46.57,,,0.33058113,
kazakhstan,2015,40.830002,,,0.80794364,
kazakhstan,2016,41.639999,,-0.078607216,-0.064576104,
kazakhstan,2017,41.4700015,,-0.27428505,2.65300205,
kazakhstan,2018,43.49,,-0.91957819,-0.43139429,
kazakhstan,2019,49.615,,0.070308745,-0.2723134,
kazakhstan,2020,53.879999,,-0.006661076,-0.18584088,
kazakhstan,2021,57.380001,,0.763882635,0.39841834,
kazakhstan,2022,64.019997,,0.55153887,0.064871795,
kuwait,2011,43.66,,,-0.75986534,
kuwait,2012,54.610001,,,-1.0641289,
kuwait,2013,56.669998,,,-0.23144284,
kuwait,2014,46.790001,,,0.99319899,
kuwait,2015,47.119999,,-0.63295233,0.27682954,
kuwait,2016,53.23,,,-0.44687268,
kuwait,2017,58.580002,,,-0.2977553,
kuwait,2018,37.93,,,2.4065845,
kuwait,2019,37.869999,,,0.36110398,
kuwait,2020,44.389999,219.87,0.031765997,-0.47879979,
kuwait,2021,38.189999,333.62,0.71511686,1.7683619,0.66940194
kuwait,2022,37.689999,280.98001,0.61390686,0.88039911,0.55720615
